mah_id,il,ilce,mahalle_adi,risk_score_pred,risk_class_5_pred,risk_label_pred,risk_proba_c1,risk_proba_c2,risk_proba_c3,risk_proba_c4,risk_proba_c5,vs30,population,building_count
16634,Istanbul,Beykoz,Poyrazköy Mahallesi̇,0.1216,1,Very Low,0.9998,0.0001,0.0,0.0,0.0,491.29,881,306
16765,Istanbul,Silivri,Fener Mahallesi̇,0.2226,1,Low,0.9136,0.0821,0.0011,0.0026,0.0004,430.47,1484,1379
16771,Istanbul,Silivri,Büyük Si̇nekli̇ Mahallesi̇,0.1967,1,Low,0.9964,0.0033,0.0002,0.0001,0.0,402.73,416,324
16775,Istanbul,Silivri,Büyük Kiliçli Mahallesi̇,0.1492,1,Very Low,0.9997,0.0002,0.0,0.0,0.0,430.86,1276,908
16779,Istanbul,Silivri,Küçük Si̇nekli̇ Mahallesi̇,0.2686,1,Medium,0.4851,0.4831,0.0224,0.0076,0.0019,328.18,140,101
16785,Istanbul,Şile,Bozgoca Mahallesi̇,0.1374,1,Very Low,0.9987,0.001,0.0001,0.0002,0.0,470.78,124,96
16807,Istanbul,Şile,Gökmaşli Mahallesi̇,0.1408,1,Very Low,0.9991,0.0007,0.0,0.0001,0.0,450.01,229,151
16816,Istanbul,Şile,Teke Mahallesi̇,0.1445,1,Very Low,0.9987,0.0013,0.0,0.0,0.0,449.82,521,265
40139,Istanbul,Adalar,Burgazada Mahallesi̇,0.5642,5,Very High,0.0003,0.0003,0.0001,0.0001,0.9993,528.7,1620,820
40140,Istanbul,Adalar,Maden Mahallesi̇,0.6774,5,Very High,0.0,0.0,0.0001,0.0001,0.9997,470.84,4914,1681
40141,Istanbul,Adalar,Ni̇zam Mahallesi̇,0.6752,5,Very High,0.0,0.0,0.0001,0.0001,0.9998,464.74,3989,1485
40142,Istanbul,Adalar,Heybeli̇ada Mahallesi̇,0.628,5,Very High,0.0001,0.0002,0.0001,0.0005,0.999,521.6,4469,1395
40143,Istanbul,Adalar,Kınalıada Mahallesi̇,0.7086,5,Very High,0.0,0.0001,0.0001,0.001,0.9988,345.46,1987,1012
40145,Istanbul,Avcılar,Merkez Mahallesi̇,0.4432,3,Very High,0.0001,0.005,0.9823,0.0108,0.0017,403.37,27127,1108
40146,Istanbul,Avcılar,Ambarli Mahallesi̇,0.5856,4,Very High,0.0002,0.0026,0.0062,0.9712,0.0198,457.81,34420,1618
40147,Istanbul,Avcılar,Deni̇zköşkler Mahallesi̇,0.6002,4,Very High,0.0,0.0004,0.0014,0.9933,0.0049,433.17,40028,2151
40148,Istanbul,Avcılar,Ci̇hangi̇r Mahallesi̇,0.433,3,Very High,0.0003,0.0145,0.9437,0.0404,0.0011,461.17,61666,3049
40149,Istanbul,Avcılar,Üni̇versi̇te Mahallesi̇,0.4486,4,Very High,0.001,0.0127,0.0155,0.9678,0.003,492.87,29932,1259
40150,Istanbul,Avcılar,Mustafa Kemalpaşa Mahallesi̇,0.4947,3,Very High,0.0001,0.0002,0.9676,0.0318,0.0003,406.29,45213,1948
40151,Istanbul,Avcılar,Gümüşpala Mahallesi̇,0.5657,4,Very High,0.0001,0.0018,0.0025,0.9868,0.0087,472.34,36640,1889
40152,Istanbul,Avcılar,Fi̇ruzköy Mahallesi̇,0.4202,3,High,0.0009,0.0154,0.9631,0.0158,0.0048,459.86,23842,3111
40153,Istanbul,Avcılar,Yeşi̇lkent Mahallesi̇,0.4335,4,Very High,0.0003,0.0184,0.0621,0.918,0.0012,454.53,75314,8118
40154,Istanbul,Avcılar,Tahtakale Mahallesi̇,0.4283,3,High,0.0007,0.0212,0.8827,0.0946,0.0008,425.69,66752,2511
40155,Istanbul,Bağcılar,Bağlar Mahallesi̇,0.4501,3,Very High,0.0004,0.0055,0.9351,0.0557,0.0032,449.47,16993,1272
40156,Istanbul,Bağcılar,Hürri̇yet Mahallesi̇,0.4505,3,Very High,0.0002,0.01,0.9726,0.0152,0.0019,441.53,25376,1484
40157,Istanbul,Bağcılar,Barbaros Mahallesi̇,0.4843,3,Very High,0.0002,0.0019,0.9544,0.0429,0.0007,419.54,20085,1144
40158,Istanbul,Bağcılar,Kazim Karabeki̇r Mahallesi̇,0.4404,3,Very High,0.0009,0.0146,0.9142,0.0487,0.0217,403.58,26664,1533
40159,Istanbul,Bağcılar,İnönü Mahallesi̇,0.5274,4,Very High,0.0002,0.0004,0.0162,0.9648,0.0184,389.62,22714,1362
40160,Istanbul,Bağcılar,Yildiztepe Mahallesi̇,0.5499,4,Very High,0.0001,0.0002,0.0085,0.9867,0.0044,368.81,35884,1978
40161,Istanbul,Bağcılar,Yeni̇gün Mahallesi̇,0.4642,3,Very High,0.0002,0.0012,0.9597,0.0366,0.0023,402.95,20790,877
40162,Istanbul,Bağcılar,Merkez Mahallesi̇,0.4875,3,Very High,0.0002,0.0006,0.9805,0.0169,0.0019,403.37,26835,1044
40163,Istanbul,Bağcılar,Çinar Mahallesi̇,0.5141,4,Very High,0.0001,0.0004,0.0126,0.9823,0.0046,385.51,32974,1742
40164,Istanbul,Bağcılar,Sancaktepe Mahallesi̇,0.5233,4,Very High,0.0003,0.0011,0.0666,0.929,0.0031,367.57,19196,1056
40165,Istanbul,Bağcılar,Yavuz Seli̇m Mahallesi̇,0.4379,3,Very High,0.0002,0.0096,0.9862,0.0035,0.0005,439.73,27178,1451
40166,Istanbul,Bağcılar,Ki̇razli Mahallesi̇,0.505,4,Very High,0.0001,0.0003,0.0817,0.915,0.0028,402.55,39528,2292
40167,Istanbul,Bağcılar,Yeni̇mahalle Mahallesi̇,0.3263,2,High,0.0252,0.8943,0.0309,0.047,0.0026,527.57,33927,1620
40168,Istanbul,Bağcılar,Güneşli̇ Mahallesi̇,0.4908,3,Very High,0.0001,0.0006,0.8969,0.1017,0.0007,421.29,44823,2410
40169,Istanbul,Bağcılar,15 Temmuz Mahallesi̇,0.4433,3,Very High,0.0005,0.0164,0.9563,0.026,0.0008,458.33,50175,3160
40170,Istanbul,Bağcılar,Mahmutbey Mahallesi̇,0.4351,3,Very High,0.0006,0.0281,0.9545,0.0114,0.0054,429.37,25326,4285
40171,Istanbul,Bağcılar,Demi̇rkapi Mahallesi̇,0.5134,4,Very High,0.0001,0.0004,0.0342,0.9639,0.0014,385.37,54498,2589
40172,Istanbul,Bağcılar,Fati̇h Mahallesi̇,0.4729,3,Very High,0.0001,0.0002,0.9758,0.0235,0.0004,389.36,40177,2498
40173,Istanbul,Bağcılar,Fevzi̇ Çakmak Mahallesi̇,0.5705,4,Very High,0.0,0.0001,0.0017,0.9979,0.0003,326.14,32364,1747
40174,Istanbul,Bağcılar,Kemalpaşa Mahallesi̇,0.5082,4,Very High,0.0001,0.0001,0.0007,0.9948,0.0043,390.19,31892,1983
40175,Istanbul,Bağcılar,Göztepe Mahallesi̇,0.4542,3,Very High,0.0,0.0022,0.9871,0.0104,0.0003,392.93,40585,2106
40176,Istanbul,Bağcılar,100 Yil Mahallesi̇,0.455,3,Very High,0.0001,0.0085,0.9888,0.002,0.0006,381.07,45610,2806
40177,Istanbul,Bahçelievler,Bahçeli̇evler Mahallesi̇,0.5698,4,Very High,0.0,0.0001,0.0005,0.9959,0.0036,385.59,57559,1965
40178,Istanbul,Bahçelievler,Şi̇ri̇nevler Mahallesi̇,0.6102,4,Very High,0.0,0.0001,0.0003,0.9948,0.0049,351.62,53894,2241
40179,Istanbul,Bahçelievler,Si̇yavuşpaşa Mahallesi̇,0.5558,4,Very High,0.0,0.0001,0.0006,0.9975,0.0019,392.57,60059,2159
40180,Istanbul,Bahçelievler,Soğanli Mahallesi̇,0.5528,4,Very High,0.0,0.0001,0.0018,0.9974,0.0007,392.89,65254,2387
40181,Istanbul,Bahçelievler,Cumhuri̇yet Mahallesi̇,0.5,4,Very High,0.0001,0.0018,0.0216,0.9709,0.0056,366.08,38835,1603
40182,Istanbul,Bahçelievler,Kocasi̇nan Merkez Mahallesi̇,0.5481,4,Very High,0.0,0.0,0.0031,0.9967,0.0001,393.72,70475,2623
40183,Istanbul,Bahçelievler,Yeni̇bosna Merkez Mahallesi̇,0.5581,4,Very High,0.0001,0.0003,0.0069,0.9898,0.0028,382.75,36763,2195
40184,Istanbul,Bahçelievler,Çobançeşme Mahallesi̇,0.5131,4,Very High,0.0002,0.0015,0.0375,0.9547,0.0061,438.08,30609,1877
40185,Istanbul,Bahçelievler,Fevzi̇ Çakmak Mahallesi̇,0.574,4,Very High,0.0001,0.0005,0.0058,0.9871,0.0064,326.14,23271,1104
40186,Istanbul,Bahçelievler,Zafer Mahallesi̇,0.5301,4,Very High,0.0001,0.0001,0.0231,0.9751,0.0016,392.6,78856,3395
40187,Istanbul,Bahçelievler,Hürri̇yet Mahallesi̇,0.4317,3,Very High,0.0007,0.0113,0.9269,0.0187,0.0424,487.64,44511,1727
