mah_id,il,ilce,mahalle_adi,risk_score_pred,risk_class_5_pred,risk_label_pred,risk_proba_c1,risk_proba_c2,risk_proba_c3,risk_proba_c4,risk_proba_c5,vs30,population,building_count
100000,Ankara,Bilinmeyen İlçe,Subaşı Mahallesi,0.1811,1,Low,0.9661,0.0252,0.0039,0.0037,0.0011,493.76,18282,1481
100001,Ankara,Bilinmeyen İlçe,Akçaali Mahallesi,0.152,1,Very Low,0.9766,0.0155,0.0019,0.0057,0.0004,504.0,102,200
100002,Ankara,Bilinmeyen İlçe,Akkoyunlu Mahallesi,0.2015,1,Low,0.7175,0.1179,0.1214,0.04,0.0032,417.97,102,84
100003,Ankara,Bilinmeyen İlçe,Davdanlı Mahallesi,0.2216,1,Low,0.9213,0.0505,0.0086,0.0151,0.0044,393.17,14552,1379
100004,Ankara,Bilinmeyen İlçe,Kayadibi Mahallesi,0.2206,1,Low,0.7871,0.1399,0.0421,0.0105,0.0203,441.86,23616,2101
100005,Ankara,Bilinmeyen İlçe,Süleymanlı Mahallesi,0.3284,1,High,0.6887,0.1423,0.0846,0.0387,0.0457,545.22,24671,2196
100006,Ankara,Bilinmeyen İlçe,Tekke Mahallesi,0.2471,1,Medium,0.6622,0.1877,0.0645,0.0451,0.0405,405.35,31444,2490
100007,Ankara,Bilinmeyen İlçe,Gökler,0.2969,1,Medium,0.6396,0.1242,0.0714,0.0871,0.0777,293.24,28705,2309
100008,Ankara,Bilinmeyen İlçe,Aydıncık Mahallesi,0.1586,1,Very Low,0.9793,0.0122,0.0038,0.0042,0.0005,460.65,102,10
100009,Ankara,Bilinmeyen İlçe,Baraj Mahallesi,0.1913,1,Low,0.9163,0.0497,0.0139,0.0118,0.0084,539.6,22230,1650
100010,Ankara,Bilinmeyen İlçe,Beşikkaya Mahallesi,0.2139,1,Low,0.9133,0.0498,0.0131,0.0225,0.0013,398.62,102,104
100011,Ankara,Bilinmeyen İlçe,Feridun Çelik Mahallesi,0.139,1,Very Low,0.9548,0.0325,0.0073,0.0045,0.0009,533.32,102,248
100012,Ankara,Bilinmeyen İlçe,Gicik Mahallesi,0.1439,1,Very Low,0.9852,0.0097,0.0022,0.0024,0.0005,501.18,1544,10
100013,Ankara,Bilinmeyen İlçe,Karacaören Mahallesi,0.2089,1,Low,0.865,0.0608,0.029,0.0379,0.0073,455.22,15332,1432
100014,Ankara,Bilinmeyen İlçe,Karapürçek Mahallesi,0.1662,1,Very Low,0.9342,0.0434,0.0084,0.0126,0.0014,427.33,262,10
100015,Ankara,Bilinmeyen İlçe,Kavaklı Mahallesi,0.2554,1,Medium,0.827,0.0876,0.0362,0.0272,0.0219,396.21,23322,2139
100016,Ankara,Bilinmeyen İlçe,Peçenek Mahallesi,0.223,1,Low,0.9056,0.046,0.0145,0.0085,0.0253,435.29,24416,2146
100017,Ankara,Bilinmeyen İlçe,Tatlar Mahallesi,0.1673,1,Very Low,0.9636,0.026,0.0039,0.0046,0.002,549.16,102,10
100018,Ankara,Bilinmeyen İlçe,Hacettepe Mahallesi,0.2177,1,Low,0.89,0.0633,0.0228,0.0219,0.002,407.58,5658,129
100019,Ankara,Bilinmeyen İlçe,Hacı Bayram Mahallesi,0.126,1,Very Low,0.9911,0.0055,0.0012,0.0018,0.0003,531.35,102,10
100020,Ankara,Bilinmeyen İlçe,Kale Mahallesi,0.2339,1,Medium,0.6756,0.105,0.1422,0.0373,0.04,446.64,32318,2933
100021,Ankara,Bilinmeyen İlçe,Zübeyde Hanım Mahallesi,0.184,1,Low,0.9622,0.0185,0.0051,0.0092,0.005,583.93,32893,2463
100022,Ankara,Bilinmeyen İlçe,Boyalık Mahallesi,0.1861,1,Low,0.9526,0.0396,0.0037,0.0029,0.0013,509.05,16409,1214
100023,Ankara,Bilinmeyen İlçe,Dikilitaş Mahallesi,0.2072,1,Low,0.9555,0.0291,0.0068,0.0069,0.0017,441.22,18958,1523
100024,Ankara,Bilinmeyen İlçe,İkizce Mahallesi,0.2965,1,Medium,0.676,0.1024,0.0695,0.0987,0.0533,345.64,37270,3290
100025,Ankara,Bilinmeyen İlçe,Beştepe Mahallesi,0.1566,1,Very Low,0.9792,0.0147,0.003,0.0027,0.0005,479.5,548,10
100026,Ankara,Bilinmeyen İlçe,Ata Mahallesi,0.2465,1,Medium,0.792,0.1215,0.0434,0.0402,0.0029,330.76,2711,498
100027,Ankara,Bilinmeyen İlçe,Aşağıemirler Mahallesi,0.2102,1,Low,0.8697,0.0993,0.0172,0.0094,0.0045,468.04,20877,1641
100028,Ankara,Bilinmeyen İlçe,Cumhuriyet Mahallesi,0.2465,1,Medium,0.9089,0.0412,0.0161,0.031,0.0028,366.23,10132,1033
100029,Ankara,Bilinmeyen İlçe,Selametli Şehit Emrah Mahallesi,0.1986,1,Low,0.9528,0.0304,0.0079,0.0064,0.0025,449.97,21012,1707
100030,Ankara,Bilinmeyen İlçe,Bezirhane Mahallesi,0.2001,1,Low,0.9035,0.0739,0.0099,0.0102,0.0024,427.11,11690,974
100031,Ankara,Bilinmeyen İlçe,Gümüşdere Mahallesi,0.2432,1,Medium,0.5272,0.3079,0.1137,0.023,0.0281,526.03,32426,2699
100032,Ankara,Bilinmeyen İlçe,Kavacık Subayevleri Mahallesi,0.1546,1,Very Low,0.9799,0.0103,0.0036,0.0058,0.0005,438.08,102,10
100033,Ankara,Bilinmeyen İlçe,Hasköy Mahallesi,0.2177,1,Low,0.906,0.0555,0.02,0.0067,0.0118,446.97,26678,1910
100034,Ankara,Bilinmeyen İlçe,Şefkat Mahallesi,0.2312,1,Medium,0.5691,0.3622,0.0307,0.0348,0.0032,420.82,10185,631
100035,Ankara,Bilinmeyen İlçe,Kalaba Mahallesi,0.2852,1,Medium,0.4248,0.4192,0.0775,0.0713,0.0071,362.45,7931,189
100036,Ankara,Bilinmeyen İlçe,Güçlükaya Mahallesi,0.1752,1,Very Low,0.9332,0.0518,0.008,0.006,0.001,443.09,749,10
100037,Ankara,Bilinmeyen İlçe,Bağlarbaşı Mahallesi,0.2292,1,Low,0.8779,0.0321,0.0352,0.0406,0.0141,427.69,43467,3792
100038,Ankara,Bilinmeyen İlçe,Yakacık Mahallesi,0.1818,1,Low,0.8305,0.1149,0.0172,0.0182,0.0193,431.25,5475,325
100039,Ankara,Bilinmeyen İlçe,Tepebaşı Mahallesi,0.2485,1,Medium,0.8888,0.0501,0.0277,0.0305,0.0029,353.09,12952,1220
100040,Ankara,Bilinmeyen İlçe,Çiçekli Mahallesi,0.1446,1,Very Low,0.9657,0.0292,0.0017,0.0032,0.0003,623.44,102,62
100041,Ankara,Bilinmeyen İlçe,Karargahtepe Mahallesi,0.1946,1,Low,0.972,0.0195,0.0037,0.0036,0.0012,476.97,19361,1556
100042,Ankara,Bilinmeyen İlçe,Basınevleri Mahallesi,0.2821,1,Medium,0.6394,0.1347,0.0862,0.0879,0.0519,320.38,18910,1769
100043,Ankara,Bilinmeyen İlçe,Emrah Mahallesi,0.1902,1,Low,0.9494,0.0342,0.005,0.0067,0.0047,504.79,16005,1276
100044,Ankara,Bilinmeyen İlçe,Aşağı Eğlence Mahallesi,0.1624,1,Very Low,0.9782,0.0173,0.002,0.002,0.0005,504.84,5459,279
100045,Ankara,Bilinmeyen İlçe,İncirli Mahallesi,0.1416,1,Very Low,0.9788,0.0146,0.0029,0.003,0.0007,512.95,5887,374
100046,Ankara,Bilinmeyen İlçe,19 Mayıs Mahallesi,0.2338,1,Medium,0.6713,0.3014,0.011,0.012,0.0043,442.12,14041,1692
100047,Ankara,Bilinmeyen İlçe,Kuşcağız Mahallesi,0.1604,1,Very Low,0.9904,0.006,0.0011,0.0018,0.0007,608.56,10410,1016
100048,Ankara,Bilinmeyen İlçe,Pınarbaşı Mahallesi,0.2131,1,Low,0.9427,0.0361,0.0089,0.0112,0.0011,386.11,102,10
100049,Ankara,Bilinmeyen İlçe,Şenlik Mahallesi,0.1606,1,Very Low,0.9391,0.0502,0.0057,0.0042,0.0008,454.48,902,40
