mah_id,il,ilce,mahalle_adi,risk_score_pred,risk_class_5_pred,risk_label_pred,risk_proba_c1,risk_proba_c2,risk_proba_c3,risk_proba_c4,risk_proba_c5,vs30,population,building_count
99359,Istanbul,Arnavutköy,Anadolu Mahallesi̇,0.2738,2,Medium,0.0609,0.7997,0.0611,0.0067,0.0715,466.2,52098,2275
40482,Istanbul,Arnavutköy,Atatürk Mahallesi̇,0.3069,2,Medium,0.0410,0.9118,0.0370,0.0026,0.0075,409.52,11107,818
99749,Istanbul,Ataşehir,Atatürk Mahallesi̇,0.3116,2,Medium,0.0489,0.8184,0.0933,0.0161,0.0233,409.52,34784,897
40527,Istanbul,Ataşehir,Barbaros Mahallesi̇,0.3830,2,High,0.0269,0.8073,0.1235,0.0211,0.0212,419.54,32499,1934
40495,Istanbul,Arnavutköy,Fati̇h Mahallesi̇,0.3823,2,High,0.0636,0.8450,0.0396,0.0103,0.0414,389.36,4265,445
40140,Istanbul,Adalar,Maden Mahallesi̇,0.8094,5,Very High,0.0421,0.0046,0.0045,0.0042,0.9446,470.84,5237,1737
40480,Istanbul,Arnavutköy,Yavuz Seli̇m Mahallesi̇,0.2586,2,Medium,0.0029,0.9677,0.0161,0.0009,0.0123,439.73,13843,1229
191979,Istanbul,Arnavutköy,Yeni̇köy Mahallesi̇,0.1602,1,Low,0.8712,0.1019,0.0195,0.0026,0.0048,457.71,1669,1087
40484,Istanbul,Arnavutköy,Yunus Emre Mahallesi̇,0.2423,1,Low,0.9522,0.0332,0.0038,0.0050,0.0057,503.14,21480,1540
40828,Istanbul,Üsküdar,Vali̇de-İ Ati̇k Mahallesi̇,0.3512,2,High,0.0261,0.9301,0.0298,0.0007,0.0133,407.47,21384,1280
40297,Istanbul,Beyoğlu,Kemankeş Karamustafapaşa Mahallesi̇,0.5431,4,Very High,0.0965,0.0137,0.0035,0.8633,0.0230,359.83,125,334
40568,Istanbul,Kartal,Topselvi̇ Mahallesi̇,0.3803,2,High,0.0518,0.8403,0.0089,0.0330,0.0660,435.12,13770,1174
40177,Istanbul,Bahçelievler,Bahçeli̇evler Mahallesi̇,0.5805,5,Very High,0.0457,0.0040,0.0078,0.0156,0.9269,385.59,61339,2017
40157,Istanbul,Bağcılar,Barbaros Mahallesi̇,0.5403,4,Very High,0.0356,0.0208,0.0367,0.8984,0.0084,419.54,20944,1216
40163,Istanbul,Bağcılar,Çinar Mahallesi̇,0.4180,3,High,0.0041,0.0098,0.9462,0.0066,0.0333,385.51,35844,1810
40181,Istanbul,Bahçelievler,Cumhuri̇yet Mahallesi̇,0.5007,4,Very High,0.0540,0.0217,0.0438,0.8685,0.0120,366.08,41520,1681
40172,Istanbul,Bağcılar,Fati̇h Mahallesi̇,0.5310,4,Very High,0.0057,0.0056,0.0078,0.9806,0.0003,389.36,42949,2618
40173,Istanbul,Bağcılar,Fevzi̇ Çakmak Mahallesi̇,0.4779,4,Very High,0.0527,0.0081,0.0723,0.8511,0.0158,326.14,34859,1797
40185,Istanbul,Bahçelievler,Fevzi̇ Çakmak Mahallesi̇,0.6078,5,Very High,0.0463,0.0120,0.0145,0.0013,0.9259,326.14,24594,1152
40175,Istanbul,Bağcılar,Göztepe Mahallesi̇,0.5403,4,Very High,0.0037,0.0023,0.0065,0.9854,0.0022,392.93,44540,2168
40187,Istanbul,Bahçelievler,Hürri̇yet Mahallesi̇,0.4135,3,High,0.0029,0.0377,0.8775,0.0201,0.0618,487.64,46788,1837
40159,Istanbul,Bağcılar,İnönü Mahallesi̇,0.5232,4,Very High,0.0726,0.0473,0.0164,0.8535,0.0103,389.62,24378,1422
40534,Istanbul,Ataşehir,İnönü Mahallesi̇,0.3725,2,High,0.0210,0.8027,0.1377,0.0147,0.0239,389.62,32970,1458
40158,Istanbul,Bağcılar,Kazim Karabeki̇r Mahallesi̇,0.4527,4,Very High,0.0127,0.0015,0.0140,0.9702,0.0018,403.58,28917,1566
40174,Istanbul,Bağcılar,Kemalpaşa Mahallesi̇,0.5769,5,Very High,0.0520,0.0087,0.0133,0.0165,0.9094,390.19,34448,2059
40145,Istanbul,Avcılar,Merkez Mahallesi̇,0.4309,3,High,0.0031,0.0004,0.9842,0.0002,0.0121,403.37,29475,1132
40162,Istanbul,Bağcılar,Merkez Mahallesi̇,0.4545,4,Very High,0.0086,0.0086,0.0209,0.9572,0.0047,403.37,28452,1093
99516,Istanbul,Ataşehir,Mevlana Mahallesi̇,0.3782,2,High,0.0133,0.9289,0.0415,0.0062,0.0101,417.67,18394,951
99519,Istanbul,Ataşehir,Mi̇mar Si̇nan Mahallesi̇,0.1903,1,Low,0.9888,0.0066,0.0006,0.0007,0.0033,478.43,10447,954
40154,Istanbul,Avcılar,Tahtakale Mahallesi̇,0.3958,2,High,0.0679,0.8033,0.0972,0.0126,0.0190,425.69,69652,2683
40165,Istanbul,Bağcılar,Yavuz Seli̇m Mahallesi̇,0.5169,4,Very High,0.0506,0.0011,0.0007,0.9460,0.0016,439.73,29458,1531
40167,Istanbul,Bağcılar,Yeni̇mahalle Mahallesi̇,0.3815,2,High,0.0249,0.8827,0.0130,0.0344,0.0450,527.57,36389,1654
99517,Istanbul,Ataşehir,Yeni̇şehi̇r Mahallesi̇,0.2631,2,Medium,0.0293,0.8596,0.0079,0.0436,0.0596,415.7,11869,422
40153,Istanbul,Avcılar,Yeşi̇lkent Mahallesi̇,0.4747,4,Very High,0.0175,0.0072,0.0147,0.9506,0.0101,454.53,78615,8497
40314,Istanbul,Fatih,Haci Kadin Mahallesi̇,0.4674,4,Very High,0.0136,0.0029,0.0183,0.9624,0.0028,406.29,232,236
40150,Istanbul,Avcılar,Mustafa Kemalpaşa Mahallesi̇,0.4944,4,Very High,0.0172,0.0131,0.0225,0.9436,0.0036,406.29,48238,2045
40671,Istanbul,Sarıyer,Sariyer Merkez Mahallesi̇,0.3335,2,Medium,0.0382,0.8343,0.0625,0.0143,0.0506,406.29,12118,1985
