mah_id,mahalle_adi,ilce_adi,toplam_nufus,toplam_bina,vs30_mean,rjb_distance_km,pga_scenario_mw72,pga_scenario_mw75,earthquake_min_distance_km,earthquake_count_10km,max_magnitude_nearby_20km,strong_earthquakes_20km,insan_etkisi,bina_etkisi,zemin_etkisi,altyapi_etkisi,barinma_etkisi,risk_score,risk_class_5,ml_predicted_class,ml_confidence,ml_risk_score,ml_proba_class_1,ml_proba_class_2,ml_proba_class_3,ml_proba_class_4,ml_proba_class_5,ml_ensemble_score
100000,Subaşı Mahallesi,Bilinmeyen İlçe,17924,1466,493.755211024145,54.01530929946741,0.0028829233126383,0.0033829315215254,8.158425631014783,22,3.6591576842195135,0,0.1771280021792982,0.1771280021792982,0.2042895867396686,0.1445550297351737,0.1771280021792982,0.1445550297351737,1,1,1.0,0.25,1.0,0.0,0.0,0.0,0.0,0.25
100001,Akçaali Mahallesi,Bilinmeyen İlçe,100,198,504.0003256251519,24.55175997865439,0.0027859769679118,0.0031287965814404,3.593312396585185,0,3.6111575117227246,0,0.1798860233456304,0.1798860233456304,0.2064493820379853,0.2066553553825919,0.1798860233456304,0.2066553553825919,2,2,1.0,0.5,0.0,1.0,0.0,0.0,0.0,0.5
100002,Akkoyunlu Mahallesi,Bilinmeyen İlçe,100,83,417.9699685998762,36.46695006665976,0.0026991466938853,0.0044261390922544,4.973005550524132,4,4.046763473630956,0,0.0889578175014488,0.0889578175014488,0.4722650433241953,0.271618383456939,0.0889578175014488,0.271618383456939,3,3,0.5853969000886818,0.7494924063094773,0.0,0.2083167373367044,0.5853969000886818,0.20628636257461375,0.0,0.7494924063094773
100003,Davdanlı Mahallesi,Bilinmeyen İlçe,14267,1365,393.1734025103691,23.977186421341525,0.0033868502084168,0.0032309291691685,2.306643805277308,6,3.4608343085955298,1,0.1567214441314011,0.1567214441314011,0.2965698235770431,0.2532649075756014,0.1567214441314011,0.2532649075756014,3,3,1.0,0.75,0.0,0.0,1.0,0.0,0.0,0.75
100004,Kayadibi Mahallesi,Bilinmeyen İlçe,23153,2080,441.8574805053776,33.25860551573303,0.0022459233552262,0.0040498234878924,4.64453575745869,10,4.15391490341021,1,0.105089603027216,0.105089603027216,0.1669736098787614,0.1954517752983088,0.105089603027216,0.1954517752983088,2,2,1.0,0.5,0.0,1.0,0.0,0.0,0.0,0.5
100005,Süleymanlı Mahallesi,Bilinmeyen İlçe,24187,2174,545.221375557684,42.557835072698765,0.0046861481268133,0.0030398045974663,4.202723219969598,14,3.374374862422579,0,0.202124580866971,0.202124580866971,0.232426248972999,0.2214267542907048,0.202124580866971,0.2214267542907048,2,2,1.0,0.5,0.0,1.0,0.0,0.0,0.0,0.5
100006,Tekke Mahallesi,Bilinmeyen İlçe,30827,2465,405.3512139854869,34.43564010382075,0.003457701058851,0.0036643755548298,3.9404795924659215,20,3.829123264804412,2,0.1984322495266444,0.1984322495266444,0.2294695853845956,0.1779304565520343,0.1984322495266444,0.1779304565520343,2,2,1.0,0.5,0.0,1.0,0.0,0.0,0.0,0.5
100007,Gökler,Bilinmeyen İlçe,28142,2286,293.2401636064809,42.62878081039776,0.0028022417742098,0.003355431571765,5.905872653067019,13,3.864481649028426,1,0.0488842533402132,0.0488842533402132,0.2485159356390688,0.0995897226805866,0.0488842533402132,0.0995897226805866,1,1,1.0,0.25,1.0,0.0,0.0,0.0,0.0,0.25
100008,Aydıncık Mahallesi,Bilinmeyen İlçe,100,10,460.6478750515397,35.10429828502444,0.0026704088487817,0.0035019686522157,5.955508198867054,12,3.62758723771598,0,0.1289250889830058,0.1289250889830058,0.3414258251612017,0.2451159819612064,0.1289250889830058,0.2451159819612064,2,2,1.0,0.5,0.0,1.0,0.0,0.0,0.0,0.5
100009,Baraj Mahallesi,Bilinmeyen İlçe,21794,1634,539.597256896273,25.73173988541633,0.0032934285469001,0.0045952278129049,3.0189273497386235,9,3.829895409526292,1,0.12482621729419,0.12482621729419,0.1259469255147093,0.2041137784883616,0.12482621729419,0.2041137784883616,2,2,1.0,0.5,0.0,1.0,0.0,0.0,0.0,0.5
100010,Beşikkaya Mahallesi,Bilinmeyen İlçe,100,103,398.6166778801073,54.27547601707823,0.0026083733538318,0.0033389692418971,6.62703443473934,2,3.868237980381239,0,0.2153571377141214,0.2153571377141214,0.2240407233736885,0.1876479969742697,0.2153571377141214,0.1876479969742697,2,2,1.0,0.5,0.0,1.0,0.0,0.0,0.0,0.5
100011,Feridun Çelik Mahallesi,Bilinmeyen İlçe,100,246,533.3200531507835,30.902331018414163,0.0033088204227555,0.00410853539849,5.45257653899775,23,3.852449903597441,1,0.089157255382038,0.089157255382038,0.3087600851904036,0.1427301642823147,0.089157255382038,0.1427301642823147,1,1,1.0,0.25,1.0,0.0,0.0,0.0,0.0,0.25
100012,Gicik Mahallesi,Bilinmeyen İlçe,1514,10,501.1792964723779,51.55293980088559,0.0032122431220282,0.003970267792481,3.264717820041251,16,3.389038682985111,0,0.111410962525337,0.111410962525337,0.2438318632468716,0.2204691184889986,0.111410962525337,0.2204691184889986,2,2,1.0,0.5,0.0,1.0,0.0,0.0,0.0,0.5
100013,Karacaören Mahallesi,Bilinmeyen İlçe,15031,1418,455.2237424574043,53.34328580493197,0.002867671583381,0.0048600845832948,6.251334695530012,6,3.478732250581666,3,0.1741236207621592,0.1741236207621592,0.2878590099658836,0.1956302652405876,0.1741236207621592,0.1956302652405876,2,2,1.0,0.5,0.0,1.0,0.0,0.0,0.0,0.5
100014,Karapürçek Mahallesi,Bilinmeyen İlçe,257,10,427.3267338568217,47.56899355571872,0.0031070468720651,0.002877130610644,5.346361851702364,18,3.53484276913966,2,0.1576862552972764,0.1576862552972764,0.3345938807089901,0.2030816515687781,0.1576862552972764,0.2030816515687781,2,2,1.0,0.5,0.0,1.0,0.0,0.0,0.0,0.5
100015,Kavaklı Mahallesi,Bilinmeyen İlçe,22865,2118,396.21356391683753,52.65159651219816,0.0034525609799782,0.0031980478137577,5.6088982397417055,17,3.807179544339751,0,0.1935956994406196,0.1935956994406196,0.2956712408554534,0.2681339384108359,0.1935956994406196,0.2681339384108359,3,3,1.0,0.75,0.0,0.0,1.0,0.0,0.0,0.75
